"x"
9
6
9
7
6
8
6
8
7
4
4
7
7
6
6
7
6
6
7
4
8
6
3
5
7
6
5
9
8
4
5
5
5
6
6
7
7
7
5
11
5
6
8
7
8
9
5
9
4
3
11
7
6
6
7
7
4
6
6
4
5
6
5
6
7
5
6
6
5
10
6
5
9
8
8
5
6
8
6
6
6
8
6
5
5
7
7
4
8
5
10
4
9
6
5
4
5
11
5
5
7
3
9
7
8
6
4
8
5
6
5
3
7
6
4
5
3
6
10
4
5
6
4
5
8
9
4
3
7
7
7
8
8
7
9
7
6
6
5
10
3
4
5
4
6
5
3
9
8
6
4
6
5
9
4
5
8
9
4
6
4
8
4
7
5
4
6
7
3
8
6
4
9
6
6
6
11
11
4
7
4
6
4
8
4
8
4
7
5
4
6
9
9
5
5
4
8
4
8
7
